district,date,month,year,visitors
Adilabad,"Monday, January 1, 2018",January,2018,320356
Adilabad,"Thursday, February 1, 2018",February,2018,36550
Adilabad,"Thursday, March 1, 2018",March,2018,23011
Adilabad,"Sunday, April 1, 2018",April,2018,14183
Adilabad,"Tuesday, May 1, 2018",May,2018,8197
Adilabad,"Friday, June 1, 2018",June,2018,12052
Adilabad,"Sunday, July 1, 2018",July,2018,24666
Adilabad,"Wednesday, August 1, 2018",August,2018,38939
Adilabad,"Saturday, September 1, 2018",September,2018,25875
Adilabad,"Monday, October 1, 2018",October,2018,30257
Adilabad,"Thursday, November 1, 2018",November,2018,49181
Adilabad,"Saturday, December 1, 2018",December,2018,61476
Bhadradri Kothagudem ,"Monday, January 1, 2018",January,2018,421275
Bhadradri Kothagudem ,"Thursday, February 1, 2018",February,2018,240634
Bhadradri Kothagudem ,"Thursday, March 1, 2018",March,2018,421275
Bhadradri Kothagudem ,"Sunday, April 1, 2018",April,2018,341258
Bhadradri Kothagudem ,"Tuesday, May 1, 2018",May,2018,291273
Bhadradri Kothagudem ,"Friday, June 1, 2018",June,2018,290512
Bhadradri Kothagudem ,"Sunday, July 1, 2018",July,2018,220304
Bhadradri Kothagudem ,"Wednesday, August 1, 2018",August,2018,219548
Bhadradri Kothagudem ,"Saturday, September 1, 2018",September,2018,334878
Bhadradri Kothagudem ,"Monday, October 1, 2018",October,2018,322974
Bhadradri Kothagudem ,"Thursday, November 1, 2018",November,2018,253464
Bhadradri Kothagudem ,"Saturday, December 1, 2018",December,2018,442483
Hyderabad,"Monday, January 1, 2018",January,2018,1978396
Hyderabad,"Thursday, February 1, 2018",February,2018,1365837
Hyderabad,"Thursday, March 1, 2018",March,2018,1415938
Hyderabad,"Sunday, April 1, 2018",April,2018,1586375
Hyderabad,"Tuesday, May 1, 2018",May,2018,1189492
Hyderabad,"Friday, June 1, 2018",June,2018,1595067
Hyderabad,"Sunday, July 1, 2018",July,2018,1470042
Hyderabad,"Wednesday, August 1, 2018",August,2018,1591470
Hyderabad,"Saturday, September 1, 2018",September,2018,1508086
Hyderabad,"Monday, October 1, 2018",October,2018,2207478
Hyderabad,"Thursday, November 1, 2018",November,2018,1671320
Hyderabad,"Saturday, December 1, 2018",December,2018,1964150
Jagtial ,"Monday, January 1, 2018",January,2018,614082
Jagtial ,"Thursday, February 1, 2018",February,2018,349576
Jagtial ,"Thursday, March 1, 2018",March,2018,416716
Jagtial ,"Sunday, April 1, 2018",April,2018,372874
Jagtial ,"Tuesday, May 1, 2018",May,2018,641363
Jagtial ,"Friday, June 1, 2018",June,2018,182505
Jagtial ,"Sunday, July 1, 2018",July,2018,182473
Jagtial ,"Wednesday, August 1, 2018",August,2018,272685
Jagtial ,"Saturday, September 1, 2018",September,2018,273121
Jagtial ,"Monday, October 1, 2018",October,2018,138206
Jagtial ,"Thursday, November 1, 2018",November,2018,277997
Jagtial ,"Saturday, December 1, 2018",December,2018,231323
Jangaon ,"Monday, January 1, 2018",January,2018,17180
Jangaon ,"Thursday, February 1, 2018",February,2018,18600
Jangaon ,"Thursday, March 1, 2018",March,2018,17300
Jangaon ,"Sunday, April 1, 2018",April,2018,18100
Jangaon ,"Tuesday, May 1, 2018",May,2018,19660
Jangaon ,"Friday, June 1, 2018",June,2018,23050
Jangaon ,"Sunday, July 1, 2018",July,2018,26280
Jangaon ,"Wednesday, August 1, 2018",August,2018,26020
Jangaon ,"Saturday, September 1, 2018",September,2018,28830
Jangaon ,"Monday, October 1, 2018",October,2018,29470
Jangaon ,"Thursday, November 1, 2018",November,2018,29570
Jangaon ,"Saturday, December 1, 2018",December,2018,36962
Jayashankar Bhoopalpally,"Monday, January 1, 2018",January,2018,6519850
Jayashankar Bhoopalpally,"Thursday, February 1, 2018",February,2018,8626250
Jayashankar Bhoopalpally,"Thursday, March 1, 2018",March,2018,146150
Jayashankar Bhoopalpally,"Sunday, April 1, 2018",April,2018,149150
Jayashankar Bhoopalpally,"Tuesday, May 1, 2018",May,2018,152050
Jayashankar Bhoopalpally,"Friday, June 1, 2018",June,2018,159400
Jayashankar Bhoopalpally,"Sunday, July 1, 2018",July,2018,128550
Jayashankar Bhoopalpally,"Wednesday, August 1, 2018",August,2018,184700
Jayashankar Bhoopalpally,"Saturday, September 1, 2018",September,2018,192300
Jayashankar Bhoopalpally,"Monday, October 1, 2018",October,2018,195400
Jayashankar Bhoopalpally,"Thursday, November 1, 2018",November,2018,196500
Jayashankar Bhoopalpally,"Saturday, December 1, 2018",December,2018,245625
Jogulamba Gadwal ,"Monday, January 1, 2018",January,2018,146441
