district,date,month,year,visitors
Adilabad,"Friday, January 1, 2016",January,2016,792136
Adilabad,"Monday, February 1, 2016",February,2016,937820
Adilabad,"Tuesday, March 1, 2016",March,2016,582946
Adilabad,"Friday, April 1, 2016",April,2016,341948
Adilabad,"Sunday, May 1, 2016",May,2016,252887
Adilabad,"Wednesday, June 1, 2016",June,2016,368237
Adilabad,"Friday, July 1, 2016",July,2016,447562
Adilabad,"Monday, August 1, 2016",August,2016,614285
Adilabad,"Thursday, September 1, 2016",September,2016,491279
Adilabad,"Saturday, October 1, 2016",October,2016,94184
Adilabad,"Tuesday, November 1, 2016",November,2016,99148
Adilabad,"Thursday, December 1, 2016",December,2016,53125
Bhadradri Kothagudem ,"Friday, January 1, 2016",January,2016, 
Bhadradri Kothagudem ,"Monday, February 1, 2016",February,2016, 
Bhadradri Kothagudem ,"Tuesday, March 1, 2016",March,2016, 
Bhadradri Kothagudem ,"Friday, April 1, 2016",April,2016, 
Bhadradri Kothagudem ,"Sunday, May 1, 2016",May,2016, 
Bhadradri Kothagudem ,"Wednesday, June 1, 2016",June,2016, 
Bhadradri Kothagudem ,"Friday, July 1, 2016",July,2016, 
Bhadradri Kothagudem ,"Monday, August 1, 2016",August,2016, 
Bhadradri Kothagudem ,"Thursday, September 1, 2016",September,2016, 
Bhadradri Kothagudem ,"Saturday, October 1, 2016",October,2016,310133
Bhadradri Kothagudem ,"Tuesday, November 1, 2016",November,2016,252127
Bhadradri Kothagudem ,"Thursday, December 1, 2016",December,2016,326770
Hyderabad,"Friday, January 1, 2016",January,2016,1122510
Hyderabad,"Monday, February 1, 2016",February,2016,778748
Hyderabad,"Tuesday, March 1, 2016",March,2016,1017794
Hyderabad,"Friday, April 1, 2016",April,2016,1127738
Hyderabad,"Sunday, May 1, 2016",May,2016,1287181
Hyderabad,"Wednesday, June 1, 2016",June,2016,12032661
Hyderabad,"Friday, July 1, 2016",July,2016,1096754
Hyderabad,"Monday, August 1, 2016",August,2016,1061137
Hyderabad,"Thursday, September 1, 2016",September,2016,832987
Hyderabad,"Saturday, October 1, 2016",October,2016,901960
Hyderabad,"Tuesday, November 1, 2016",November,2016,909733
Hyderabad,"Thursday, December 1, 2016",December,2016,1225502
Jagtial ,"Friday, January 1, 2016",January,2016, 
Jagtial ,"Monday, February 1, 2016",February,2016, 
Jagtial ,"Tuesday, March 1, 2016",March,2016, 
Jagtial ,"Friday, April 1, 2016",April,2016, 
Jagtial ,"Sunday, May 1, 2016",May,2016, 
Jagtial ,"Wednesday, June 1, 2016",June,2016, 
Jagtial ,"Friday, July 1, 2016",July,2016, 
Jagtial ,"Monday, August 1, 2016",August,2016, 
Jagtial ,"Thursday, September 1, 2016",September,2016, 
Jagtial ,"Saturday, October 1, 2016",October,2016,201249
Jagtial ,"Tuesday, November 1, 2016",November,2016,214534
Jagtial ,"Thursday, December 1, 2016",December,2016,207294
Jangaon ,"Friday, January 1, 2016",January,2016, 
Jangaon ,"Monday, February 1, 2016",February,2016, 
Jangaon ,"Tuesday, March 1, 2016",March,2016, 
Jangaon ,"Friday, April 1, 2016",April,2016, 
Jangaon ,"Sunday, May 1, 2016",May,2016, 
Jangaon ,"Wednesday, June 1, 2016",June,2016, 
Jangaon ,"Friday, July 1, 2016",July,2016, 
Jangaon ,"Monday, August 1, 2016",August,2016, 
Jangaon ,"Thursday, September 1, 2016",September,2016, 
Jangaon ,"Saturday, October 1, 2016",October,2016,14770
Jangaon ,"Tuesday, November 1, 2016",November,2016,13210
Jangaon ,"Thursday, December 1, 2016",December,2016,12680
Jayashankar Bhoopalpally,"Friday, January 1, 2016",January,2016, 
Jayashankar Bhoopalpally,"Monday, February 1, 2016",February,2016, 
Jayashankar Bhoopalpally,"Tuesday, March 1, 2016",March,2016, 
Jayashankar Bhoopalpally,"Friday, April 1, 2016",April,2016, 
Jayashankar Bhoopalpally,"Sunday, May 1, 2016",May,2016, 
Jayashankar Bhoopalpally,"Wednesday, June 1, 2016",June,2016, 
Jayashankar Bhoopalpally,"Friday, July 1, 2016",July,2016, 
Jayashankar Bhoopalpally,"Monday, August 1, 2016",August,2016, 
Jayashankar Bhoopalpally,"Thursday, September 1, 2016",September,2016, 
Jayashankar Bhoopalpally,"Saturday, October 1, 2016",October,2016,76360
Jayashankar Bhoopalpally,"Tuesday, November 1, 2016",November,2016,81580
Jayashankar Bhoopalpally,"Thursday, December 1, 2016",December,2016,85460
Jogulamba Gadwal ,"Friday, January 1, 2016",January,2016, 
Jogulamba Gadwal ,"Monday, February 1, 2016",February,2016, 
Jogulamba Gadwal ,"Tuesday, March 1, 2016",March,2016, 
Jogulamba Gadwal ,"Friday, April 1, 2016",April,2016, 
Jogulamba Gadwal ,"Sunday, May 1, 2016",May,2016, 
Jogulamba Gadwal ,"Wednesday, June 1, 2016",June,2016, 
Jogulamba Gadwal ,"Friday, July 1, 2016",July,2016, 
Jogulamba Gadwal ,"Monday, August 1, 2016",August,2016, 
Jogulamba Gadwal ,"Thursday, September 1, 2016",September,2016, 
Jogulamba Gadwal ,"Saturday, October 1, 2016",October,2016,152898
Jogulamba Gadwal ,"Tuesday, November 1, 2016",November,2016,188170
Jogulamba Gadwal ,"Thursday, December 1, 2016",December,2016,182333
Kamareddy ,"Friday, January 1, 2016",January,2016, 
Kamareddy ,"Monday, February 1, 2016",February,2016, 
Kamareddy ,"Tuesday, March 1, 2016",March,2016, 
Kamareddy ,"Friday, April 1, 2016",April,2016, 
Kamareddy ,"Sunday, May 1, 2016",May,2016, 
Kamareddy ,"Wednesday, June 1, 2016",June,2016, 
Kamareddy ,"Friday, July 1, 2016",July,2016, 
Kamareddy ,"Monday, August 1, 2016",August,2016, 
Kamareddy ,"Thursday, September 1, 2016",September,2016, 
Kamareddy ,"Saturday, October 1, 2016",October,2016,47
Kamareddy ,"Tuesday, November 1, 2016",November,2016,38
Kamareddy ,"Thursday, December 1, 2016",December,2016,42
Karimnagar ,"Friday, January 1, 2016",January,2016,1984442
Karimnagar ,"Monday, February 1, 2016",February,2016,779960
Karimnagar ,"Tuesday, March 1, 2016",March,2016,1018399
Karimnagar ,"Friday, April 1, 2016",April,2016,956959
Karimnagar ,"Sunday, May 1, 2016",May,2016,1095642
Karimnagar ,"Wednesday, June 1, 2016",June,2016,914746
Karimnagar ,"Friday, July 1, 2016",July,2016,401047
Karimnagar ,"Monday, August 1, 2016",August,2016,1018399
Karimnagar ,"Thursday, September 1, 2016",September,2016,956959
Karimnagar ,"Saturday, October 1, 2016",October,2016,13675
Karimnagar ,"Tuesday, November 1, 2016",November,2016,13350
Karimnagar ,"Thursday, December 1, 2016",December,2016,13890
Khammam,"Friday, January 1, 2016",January,2016,651827
Khammam,"Monday, February 1, 2016",February,2016,407533
Khammam,"Tuesday, March 1, 2016",March,2016,458527
Khammam,"Friday, April 1, 2016",April,2016,971622
Khammam,"Sunday, May 1, 2016",May,2016,433994
Khammam,"Wednesday, June 1, 2016",June,2016,445862
Khammam,"Friday, July 1, 2016",July,2016,414963
Khammam,"Monday, August 1, 2016",August,2016,503654
Khammam,"Thursday, September 1, 2016",September,2016,368437
Khammam,"Saturday, October 1, 2016",October,2016,121575
Khammam,"Tuesday, November 1, 2016",November,2016,110634
Khammam,"Thursday, December 1, 2016",December,2016,116403
Komaram Bheem Asifabad,"Friday, January 1, 2016",January,2016, 
Komaram Bheem Asifabad,"Monday, February 1, 2016",February,2016, 
Komaram Bheem Asifabad,"Tuesday, March 1, 2016",March,2016, 
Komaram Bheem Asifabad,"Friday, April 1, 2016",April,2016, 
Komaram Bheem Asifabad,"Sunday, May 1, 2016",May,2016, 
Komaram Bheem Asifabad,"Wednesday, June 1, 2016",June,2016, 
Komaram Bheem Asifabad,"Friday, July 1, 2016",July,2016, 
Komaram Bheem Asifabad,"Monday, August 1, 2016",August,2016, 
Komaram Bheem Asifabad,"Thursday, September 1, 2016",September,2016, 
Komaram Bheem Asifabad,"Saturday, October 1, 2016",October,2016,0
Komaram Bheem Asifabad,"Tuesday, November 1, 2016",November,2016,0
Komaram Bheem Asifabad,"Thursday, December 1, 2016",December,2016,0
Mahabubabad ,"Friday, January 1, 2016",January,2016, 
Mahabubabad ,"Monday, February 1, 2016",February,2016, 
Mahabubabad ,"Tuesday, March 1, 2016",March,2016, 
Mahabubabad ,"Friday, April 1, 2016",April,2016, 
Mahabubabad ,"Sunday, May 1, 2016",May,2016, 
Mahabubabad ,"Wednesday, June 1, 2016",June,2016, 
Mahabubabad ,"Friday, July 1, 2016",July,2016, 
Mahabubabad ,"Monday, August 1, 2016",August,2016, 
Mahabubabad ,"Thursday, September 1, 2016",September,2016, 
Mahabubabad ,"Saturday, October 1, 2016",October,2016,13032
Mahabubabad ,"Tuesday, November 1, 2016",November,2016,114015
Mahabubabad ,"Thursday, December 1, 2016",December,2016,12955
Mahbubnagar,"Friday, January 1, 2016",January,2016,577071
Mahbubnagar,"Monday, February 1, 2016",February,2016,1312068
Mahbubnagar,"Tuesday, March 1, 2016",March,2016,1731983
Mahbubnagar,"Friday, April 1, 2016",April,2016,622432
Mahbubnagar,"Sunday, May 1, 2016",May,2016,571898
Mahbubnagar,"Wednesday, June 1, 2016",June,2016,561006
Mahbubnagar,"Friday, July 1, 2016",July,2016,562322
Mahbubnagar,"Monday, August 1, 2016",August,2016,1133105
Mahbubnagar,"Thursday, September 1, 2016",September,2016,567712
Mahbubnagar,"Saturday, October 1, 2016",October,2016,198592
Mahbubnagar,"Tuesday, November 1, 2016",November,2016,256375
Mahbubnagar,"Thursday, December 1, 2016",December,2016,210202
Mancherial,"Friday, January 1, 2016",January,2016, 
Mancherial,"Monday, February 1, 2016",February,2016, 
Mancherial,"Tuesday, March 1, 2016",March,2016, 
Mancherial,"Friday, April 1, 2016",April,2016, 
Mancherial,"Sunday, May 1, 2016",May,2016, 
Mancherial,"Wednesday, June 1, 2016",June,2016, 
Mancherial,"Friday, July 1, 2016",July,2016, 
Mancherial,"Monday, August 1, 2016",August,2016, 
Mancherial,"Thursday, September 1, 2016",September,2016, 
Mancherial,"Saturday, October 1, 2016",October,2016,3124
Mancherial,"Tuesday, November 1, 2016",November,2016,2255
Mancherial,"Thursday, December 1, 2016",December,2016,2423
Medak ,"Friday, January 1, 2016",January,2016,92600
Medak ,"Monday, February 1, 2016",February,2016,215000
Medak ,"Tuesday, March 1, 2016",March,2016,1318000
Medak ,"Friday, April 1, 2016",April,2016,300000
Medak ,"Sunday, May 1, 2016",May,2016,198000
Medak ,"Wednesday, June 1, 2016",June,2016,166700
Medak ,"Friday, July 1, 2016",July,2016,153300
Medak ,"Monday, August 1, 2016",August,2016,216100
Medak ,"Thursday, September 1, 2016",September,2016,132600
Medak ,"Saturday, October 1, 2016",October,2016,15600
Medak ,"Tuesday, November 1, 2016",November,2016,132300
Medak ,"Thursday, December 1, 2016",December,2016,523000
Medchal ,"Friday, January 1, 2016",January,2016, 
Medchal ,"Monday, February 1, 2016",February,2016, 
Medchal ,"Tuesday, March 1, 2016",March,2016, 
Medchal ,"Friday, April 1, 2016",April,2016, 
Medchal ,"Sunday, May 1, 2016",May,2016, 
Medchal ,"Wednesday, June 1, 2016",June,2016, 
Medchal ,"Friday, July 1, 2016",July,2016, 
Medchal ,"Monday, August 1, 2016",August,2016, 
Medchal ,"Thursday, September 1, 2016",September,2016, 
Medchal ,"Saturday, October 1, 2016",October,2016, 
Medchal ,"Tuesday, November 1, 2016",November,2016, 
Medchal ,"Thursday, December 1, 2016",December,2016, 
Nagarkurnool ,"Friday, January 1, 2016",January,2016, 
Nagarkurnool ,"Monday, February 1, 2016",February,2016, 
Nagarkurnool ,"Tuesday, March 1, 2016",March,2016, 
Nagarkurnool ,"Friday, April 1, 2016",April,2016, 
Nagarkurnool ,"Sunday, May 1, 2016",May,2016, 
Nagarkurnool ,"Wednesday, June 1, 2016",June,2016, 
Nagarkurnool ,"Friday, July 1, 2016",July,2016, 
Nagarkurnool ,"Monday, August 1, 2016",August,2016, 
Nagarkurnool ,"Thursday, September 1, 2016",September,2016, 
Nagarkurnool ,"Saturday, October 1, 2016",October,2016,201050
Nagarkurnool ,"Tuesday, November 1, 2016",November,2016,188786
Nagarkurnool ,"Thursday, December 1, 2016",December,2016,198637
Nalgonda,"Friday, January 1, 2016",January,2016,566515
Nalgonda,"Monday, February 1, 2016",February,2016,539467
Nalgonda,"Tuesday, March 1, 2016",March,2016,619462
Nalgonda,"Friday, April 1, 2016",April,2016,601253
Nalgonda,"Sunday, May 1, 2016",May,2016,628872
Nalgonda,"Wednesday, June 1, 2016",June,2016,551239
Nalgonda,"Friday, July 1, 2016",July,2016,582820
Nalgonda,"Monday, August 1, 2016",August,2016,988102
Nalgonda,"Thursday, September 1, 2016",September,2016,742402
Nalgonda,"Saturday, October 1, 2016",October,2016,3508
Nalgonda,"Tuesday, November 1, 2016",November,2016,21046
Nalgonda,"Thursday, December 1, 2016",December,2016,13775
Nirmal,"Friday, January 1, 2016",January,2016, 
Nirmal,"Monday, February 1, 2016",February,2016, 
Nirmal,"Tuesday, March 1, 2016",March,2016, 
Nirmal,"Friday, April 1, 2016",April,2016, 
Nirmal,"Sunday, May 1, 2016",May,2016, 
Nirmal,"Wednesday, June 1, 2016",June,2016, 
Nirmal,"Friday, July 1, 2016",July,2016, 
Nirmal,"Monday, August 1, 2016",August,2016, 
Nirmal,"Thursday, September 1, 2016",September,2016, 
Nirmal,"Saturday, October 1, 2016",October,2016,475955
Nirmal,"Tuesday, November 1, 2016",November,2016,201388
Nirmal,"Thursday, December 1, 2016",December,2016,239267
Nizamabad,"Friday, January 1, 2016",January,2016,576
Nizamabad,"Monday, February 1, 2016",February,2016,869
Nizamabad,"Tuesday, March 1, 2016",March,2016,408
Nizamabad,"Friday, April 1, 2016",April,2016,476
Nizamabad,"Sunday, May 1, 2016",May,2016,554
Nizamabad,"Wednesday, June 1, 2016",June,2016,367
Nizamabad,"Friday, July 1, 2016",July,2016,644
Nizamabad,"Monday, August 1, 2016",August,2016,589
Nizamabad,"Thursday, September 1, 2016",September,2016,553
Nizamabad,"Saturday, October 1, 2016",October,2016,434
Nizamabad,"Tuesday, November 1, 2016",November,2016,617
Nizamabad,"Thursday, December 1, 2016",December,2016,355
Peddapalli,"Friday, January 1, 2016",January,2016, 
Peddapalli,"Monday, February 1, 2016",February,2016, 
Peddapalli,"Tuesday, March 1, 2016",March,2016, 
Peddapalli,"Friday, April 1, 2016",April,2016, 
Peddapalli,"Sunday, May 1, 2016",May,2016, 
Peddapalli,"Wednesday, June 1, 2016",June,2016, 
Peddapalli,"Friday, July 1, 2016",July,2016, 
Peddapalli,"Monday, August 1, 2016",August,2016, 
Peddapalli,"Thursday, September 1, 2016",September,2016, 
Peddapalli,"Saturday, October 1, 2016",October,2016,950
Peddapalli,"Tuesday, November 1, 2016",November,2016,1145
Peddapalli,"Thursday, December 1, 2016",December,2016,1149
Rajanna Sircilla ,"Friday, January 1, 2016",January,2016, 
Rajanna Sircilla ,"Monday, February 1, 2016",February,2016, 
Rajanna Sircilla ,"Tuesday, March 1, 2016",March,2016, 
Rajanna Sircilla ,"Friday, April 1, 2016",April,2016, 
Rajanna Sircilla ,"Sunday, May 1, 2016",May,2016, 
Rajanna Sircilla ,"Wednesday, June 1, 2016",June,2016, 
Rajanna Sircilla ,"Friday, July 1, 2016",July,2016, 
Rajanna Sircilla ,"Monday, August 1, 2016",August,2016, 
Rajanna Sircilla ,"Thursday, September 1, 2016",September,2016, 
Rajanna Sircilla ,"Saturday, October 1, 2016",October,2016,534484
Rajanna Sircilla ,"Tuesday, November 1, 2016",November,2016,864077
Rajanna Sircilla ,"Thursday, December 1, 2016",December,2016,778240
Ranga Reddy,"Friday, January 1, 2016",January,2016, 
Ranga Reddy,"Monday, February 1, 2016",February,2016, 
Ranga Reddy,"Tuesday, March 1, 2016",March,2016, 
Ranga Reddy,"Friday, April 1, 2016",April,2016, 
Ranga Reddy,"Sunday, May 1, 2016",May,2016, 
Ranga Reddy,"Wednesday, June 1, 2016",June,2016, 
Ranga Reddy,"Friday, July 1, 2016",July,2016, 
Ranga Reddy,"Monday, August 1, 2016",August,2016, 
Ranga Reddy,"Thursday, September 1, 2016",September,2016, 
Ranga Reddy,"Saturday, October 1, 2016",October,2016, 
Ranga Reddy,"Tuesday, November 1, 2016",November,2016, 
Ranga Reddy,"Thursday, December 1, 2016",December,2016, 
Sangareddy ,"Friday, January 1, 2016",January,2016, 
Sangareddy ,"Monday, February 1, 2016",February,2016, 
Sangareddy ,"Tuesday, March 1, 2016",March,2016, 
Sangareddy ,"Friday, April 1, 2016",April,2016, 
Sangareddy ,"Sunday, May 1, 2016",May,2016, 
Sangareddy ,"Wednesday, June 1, 2016",June,2016, 
Sangareddy ,"Friday, July 1, 2016",July,2016, 
Sangareddy ,"Monday, August 1, 2016",August,2016, 
Sangareddy ,"Thursday, September 1, 2016",September,2016, 
Sangareddy ,"Saturday, October 1, 2016",October,2016,274000
Sangareddy ,"Tuesday, November 1, 2016",November,2016,349000
Sangareddy ,"Thursday, December 1, 2016",December,2016,155000
Siddipet,"Friday, January 1, 2016",January,2016, 
Siddipet,"Monday, February 1, 2016",February,2016, 
Siddipet,"Tuesday, March 1, 2016",March,2016, 
Siddipet,"Friday, April 1, 2016",April,2016, 
Siddipet,"Sunday, May 1, 2016",May,2016, 
Siddipet,"Wednesday, June 1, 2016",June,2016, 
Siddipet,"Friday, July 1, 2016",July,2016, 
Siddipet,"Monday, August 1, 2016",August,2016, 
Siddipet,"Thursday, September 1, 2016",September,2016, 
Siddipet,"Saturday, October 1, 2016",October,2016,123500
Siddipet,"Tuesday, November 1, 2016",November,2016,154400
Siddipet,"Thursday, December 1, 2016",December,2016,80500
Suryapet,"Friday, January 1, 2016",January,2016, 
Suryapet,"Monday, February 1, 2016",February,2016, 
Suryapet,"Tuesday, March 1, 2016",March,2016, 
Suryapet,"Friday, April 1, 2016",April,2016, 
Suryapet,"Sunday, May 1, 2016",May,2016, 
Suryapet,"Wednesday, June 1, 2016",June,2016, 
Suryapet,"Friday, July 1, 2016",July,2016, 
Suryapet,"Monday, August 1, 2016",August,2016, 
Suryapet,"Thursday, September 1, 2016",September,2016, 
Suryapet,"Saturday, October 1, 2016",October,2016,0
Suryapet,"Tuesday, November 1, 2016",November,2016,0
Suryapet,"Thursday, December 1, 2016",December,2016,0
Vikarabad,"Friday, January 1, 2016",January,2016, 
Vikarabad,"Monday, February 1, 2016",February,2016, 
Vikarabad,"Tuesday, March 1, 2016",March,2016, 
Vikarabad,"Friday, April 1, 2016",April,2016, 
Vikarabad,"Sunday, May 1, 2016",May,2016, 
Vikarabad,"Wednesday, June 1, 2016",June,2016, 
