district,date,month,year,visitors
Adilabad,"Sunday, January 1, 2017",January,2017,318799
Adilabad,"Wednesday, February 1, 2017",February,2017,83316
Adilabad,"Wednesday, March 1, 2017",March,2017,27508
Adilabad,"Saturday, April 1, 2017",April,2017,13946
Adilabad,"Monday, May 1, 2017",May,2017,11752
Adilabad,"Thursday, June 1, 2017",June,2017,26859
Adilabad,"Saturday, July 1, 2017",July,2017,52386
Adilabad,"Tuesday, August 1, 2017",August,2017,34876
Adilabad,"Friday, September 1, 2017",September,2017,42699
Adilabad,"Sunday, October 1, 2017",October,2017,41666
Adilabad,"Wednesday, November 1, 2017",November,2017,117322
Adilabad,"Friday, December 1, 2017",December,2017,54251
Bhadradri Kothagudem ,"Sunday, January 1, 2017",January,2017,302315
Bhadradri Kothagudem ,"Wednesday, February 1, 2017",February,2017,251359
Bhadradri Kothagudem ,"Wednesday, March 1, 2017",March,2017,243943
Bhadradri Kothagudem ,"Saturday, April 1, 2017",April,2017,667459
Bhadradri Kothagudem ,"Monday, May 1, 2017",May,2017,311626
Bhadradri Kothagudem ,"Thursday, June 1, 2017",June,2017,351742
Bhadradri Kothagudem ,"Saturday, July 1, 2017",July,2017,258114
Bhadradri Kothagudem ,"Tuesday, August 1, 2017",August,2017,316438
Bhadradri Kothagudem ,"Friday, September 1, 2017",September,2017,381784
Bhadradri Kothagudem ,"Sunday, October 1, 2017",October,2017,334504
Bhadradri Kothagudem ,"Wednesday, November 1, 2017",November,2017,281515
Bhadradri Kothagudem ,"Friday, December 1, 2017",December,2017,393518
Hyderabad,"Sunday, January 1, 2017",January,2017,1924695
Hyderabad,"Wednesday, February 1, 2017",February,2017,1886698
Hyderabad,"Wednesday, March 1, 2017",March,2017,1783903
Hyderabad,"Saturday, April 1, 2017",April,2017,2366793
Hyderabad,"Monday, May 1, 2017",May,2017,2266793
Hyderabad,"Thursday, June 1, 2017",June,2017,2007060
Hyderabad,"Saturday, July 1, 2017",July,2017,1890870
Hyderabad,"Tuesday, August 1, 2017",August,2017,1976980
Hyderabad,"Friday, September 1, 2017",September,2017,2011280
Hyderabad,"Sunday, October 1, 2017",October,2017,2202316
Hyderabad,"Wednesday, November 1, 2017",November,2017,1971438
Hyderabad,"Friday, December 1, 2017",December,2017,4871416
Jagtial ,"Sunday, January 1, 2017",January,2017,174477
Jagtial ,"Wednesday, February 1, 2017",February,2017,159659
Jagtial ,"Wednesday, March 1, 2017",March,2017,323658
Jagtial ,"Saturday, April 1, 2017",April,2017,330540
Jagtial ,"Monday, May 1, 2017",May,2017,468038
Jagtial ,"Thursday, June 1, 2017",June,2017,418103
Jagtial ,"Saturday, July 1, 2017",July,2017,247254
Jagtial ,"Tuesday, August 1, 2017",August,2017,386458
Jagtial ,"Friday, September 1, 2017",September,2017,143102
Jagtial ,"Sunday, October 1, 2017",October,2017,248504
Jagtial ,"Wednesday, November 1, 2017",November,2017,348042
Jagtial ,"Friday, December 1, 2017",December,2017,393566
Jangaon ,"Sunday, January 1, 2017",January,2017,12280
Jangaon ,"Wednesday, February 1, 2017",February,2017,12610
Jangaon ,"Wednesday, March 1, 2017",March,2017,8450
Jangaon ,"Saturday, April 1, 2017",April,2017,9788
Jangaon ,"Monday, May 1, 2017",May,2017,12130
Jangaon ,"Thursday, June 1, 2017",June,2017,13750
Jangaon ,"Saturday, July 1, 2017",July,2017,16050
Jangaon ,"Tuesday, August 1, 2017",August,2017,15680
Jangaon ,"Friday, September 1, 2017",September,2017,15600
Jangaon ,"Sunday, October 1, 2017",October,2017,16130
Jangaon ,"Wednesday, November 1, 2017",November,2017,16360
Jangaon ,"Friday, December 1, 2017",December,2017,16880
Jayashankar Bhoopalpally,"Sunday, January 1, 2017",January,2017,96560
Jayashankar Bhoopalpally,"Wednesday, February 1, 2017",February,2017,96850
Jayashankar Bhoopalpally,"Wednesday, March 1, 2017",March,2017,81400
Jayashankar Bhoopalpally,"Saturday, April 1, 2017",April,2017,90700
Jayashankar Bhoopalpally,"Monday, May 1, 2017",May,2017,91150
Jayashankar Bhoopalpally,"Thursday, June 1, 2017",June,2017,93650
Jayashankar Bhoopalpally,"Saturday, July 1, 2017",July,2017,94700
Jayashankar Bhoopalpally,"Tuesday, August 1, 2017",August,2017,118350
Jayashankar Bhoopalpally,"Friday, September 1, 2017",September,2017,112600
Jayashankar Bhoopalpally,"Sunday, October 1, 2017",October,2017,115250
Jayashankar Bhoopalpally,"Wednesday, November 1, 2017",November,2017,116800
Jayashankar Bhoopalpally,"Friday, December 1, 2017",December,2017,723000
Jogulamba Gadwal ,"Sunday, January 1, 2017",January,2017,214887
Jogulamba Gadwal ,"Wednesday, February 1, 2017",February,2017,481110
Jogulamba Gadwal ,"Wednesday, March 1, 2017",March,2017,155013
Jogulamba Gadwal ,"Saturday, April 1, 2017",April,2017,131426
Jogulamba Gadwal ,"Monday, May 1, 2017",May,2017,131426
Jogulamba Gadwal ,"Thursday, June 1, 2017",June,2017,160182
Jogulamba Gadwal ,"Saturday, July 1, 2017",July,2017,160182
Jogulamba Gadwal ,"Tuesday, August 1, 2017",August,2017,131485
Jogulamba Gadwal ,"Friday, September 1, 2017",September,2017,123733
Jogulamba Gadwal ,"Sunday, October 1, 2017",October,2017,152898
Jogulamba Gadwal ,"Wednesday, November 1, 2017",November,2017,188170
Jogulamba Gadwal ,"Friday, December 1, 2017",December,2017,214887
Kamareddy ,"Sunday, January 1, 2017",January,2017,58
Kamareddy ,"Wednesday, February 1, 2017",February,2017,50
Kamareddy ,"Wednesday, March 1, 2017",March,2017,41
Kamareddy ,"Saturday, April 1, 2017",April,2017,46
Kamareddy ,"Monday, May 1, 2017",May,2017,60
Kamareddy ,"Thursday, June 1, 2017",June,2017,41
Kamareddy ,"Saturday, July 1, 2017",July,2017,41
Kamareddy ,"Tuesday, August 1, 2017",August,2017,40
Kamareddy ,"Friday, September 1, 2017",September,2017,41
Kamareddy ,"Sunday, October 1, 2017",October,2017,38
Kamareddy ,"Wednesday, November 1, 2017",November,2017,43
Kamareddy ,"Friday, December 1, 2017",December,2017,41
Karimnagar ,"Sunday, January 1, 2017",January,2017,14425
Karimnagar ,"Wednesday, February 1, 2017",February,2017,10845
Karimnagar ,"Wednesday, March 1, 2017",March,2017,9625
Karimnagar ,"Saturday, April 1, 2017",April,2017,8630
Karimnagar ,"Monday, May 1, 2017",May,2017,8890
Karimnagar ,"Thursday, June 1, 2017",June,2017,10542
Karimnagar ,"Saturday, July 1, 2017",July,2017,12350
