district,date,month,year,visitors
Kamareddy ,"Wednesday, May 1, 2019",May,2019,46
Kamareddy ,"Saturday, June 1, 2019",June,2019,41
Kamareddy ,"Monday, July 1, 2019",July,2019,50
Kamareddy ,"Thursday, August 1, 2019",August,2019,50
Kamareddy ,"Sunday, September 1, 2019",September,2019,41
Kamareddy ,"Tuesday, October 1, 2019",October,2019,46
Kamareddy ,"Friday, November 1, 2019",November,2019,46
Kamareddy ,"Sunday, December 1, 2019",December,2019,45
Karimnagar ,"Tuesday, January 1, 2019",January,2019,10285
Karimnagar ,"Friday, February 1, 2019",February,2019,6480
Karimnagar ,"Friday, March 1, 2019",March,2019,6634
Karimnagar ,"Monday, April 1, 2019",April,2019,5623
Karimnagar ,"Wednesday, May 1, 2019",May,2019,3393
Karimnagar ,"Saturday, June 1, 2019",June,2019,3871
Karimnagar ,"Monday, July 1, 2019",July,2019,5192
Karimnagar ,"Thursday, August 1, 2019",August,2019,5480
Karimnagar ,"Sunday, September 1, 2019",September,2019,8735
Karimnagar ,"Tuesday, October 1, 2019",October,2019,6799
Karimnagar ,"Friday, November 1, 2019",November,2019,7101
Karimnagar ,"Sunday, December 1, 2019",December,2019,7898
Khammam,"Tuesday, January 1, 2019",January,2019,123550
Khammam,"Friday, February 1, 2019",February,2019,98471
Khammam,"Friday, March 1, 2019",March,2019,91340
Khammam,"Monday, April 1, 2019",April,2019,135920
Khammam,"Wednesday, May 1, 2019",May,2019,130971
Khammam,"Saturday, June 1, 2019",June,2019,127270
Khammam,"Monday, July 1, 2019",July,2019,103260
Khammam,"Thursday, August 1, 2019",August,2019,111374
Khammam,"Sunday, September 1, 2019",September,2019,133754
Khammam,"Tuesday, October 1, 2019",October,2019,128625
Khammam,"Friday, November 1, 2019",November,2019,104380
Khammam,"Sunday, December 1, 2019",December,2019,124525
Komaram Bheem Asifabad,"Tuesday, January 1, 2019",January,2019,2476
Komaram Bheem Asifabad,"Friday, February 1, 2019",February,2019,1449
Komaram Bheem Asifabad,"Friday, March 1, 2019",March,2019,1212
Komaram Bheem Asifabad,"Monday, April 1, 2019",April,2019,663
Komaram Bheem Asifabad,"Wednesday, May 1, 2019",May,2019,493
Komaram Bheem Asifabad,"Saturday, June 1, 2019",June,2019,506
Komaram Bheem Asifabad,"Monday, July 1, 2019",July,2019,1287
Komaram Bheem Asifabad,"Thursday, August 1, 2019",August,2019,2572
Komaram Bheem Asifabad,"Sunday, September 1, 2019",September,2019,1629
Komaram Bheem Asifabad,"Tuesday, October 1, 2019",October,2019,1943
Komaram Bheem Asifabad,"Friday, November 1, 2019",November,2019,2176
Komaram Bheem Asifabad,"Sunday, December 1, 2019",December,2019,2783
Mahabubabad ,"Tuesday, January 1, 2019",January,2019,13480
Mahabubabad ,"Friday, February 1, 2019",February,2019,13545
Mahabubabad ,"Friday, March 1, 2019",March,2019,13490
Mahabubabad ,"Monday, April 1, 2019",April,2019,12980
Mahabubabad ,"Wednesday, May 1, 2019",May,2019,11970
Mahabubabad ,"Saturday, June 1, 2019",June,2019,11460
Mahabubabad ,"Monday, July 1, 2019",July,2019,13470
Mahabubabad ,"Thursday, August 1, 2019",August,2019,12190
