district,date,month,year,visitors
Adilabad,"Tuesday, January 1, 2019",January,2019,0
Adilabad,"Friday, February 1, 2019",February,2019,2
Adilabad,"Friday, March 1, 2019",March,2019,0
Adilabad,"Monday, April 1, 2019",April,2019,0
Adilabad,"Wednesday, May 1, 2019",May,2019,0
Adilabad,"Saturday, June 1, 2019",June,2019,0
Adilabad,"Monday, July 1, 2019",July,2019,0
Adilabad,"Thursday, August 1, 2019",August,2019,2
Adilabad,"Sunday, September 1, 2019",September,2019,0
Adilabad,"Tuesday, October 1, 2019",October,2019,0
Adilabad,"Friday, November 1, 2019",November,2019,2
Adilabad,"Sunday, December 1, 2019",December,2019,0
Bhadradri Kothagudem ,"Tuesday, January 1, 2019",January,2019,0
Bhadradri Kothagudem ,"Friday, February 1, 2019",February,2019,0
Bhadradri Kothagudem ,"Friday, March 1, 2019",March,2019,0
Bhadradri Kothagudem ,"Monday, April 1, 2019",April,2019,0
Bhadradri Kothagudem ,"Wednesday, May 1, 2019",May,2019,0
Bhadradri Kothagudem ,"Saturday, June 1, 2019",June,2019,0
Bhadradri Kothagudem ,"Monday, July 1, 2019",July,2019,0
Bhadradri Kothagudem ,"Thursday, August 1, 2019",August,2019,0
Bhadradri Kothagudem ,"Sunday, September 1, 2019",September,2019,0
Bhadradri Kothagudem ,"Tuesday, October 1, 2019",October,2019,0
Bhadradri Kothagudem ,"Friday, November 1, 2019",November,2019,0
Bhadradri Kothagudem ,"Sunday, December 1, 2019",December,2019,0
Hyderabad,"Tuesday, January 1, 2019",January,2019,35920
Hyderabad,"Friday, February 1, 2019",February,2019,25621
Hyderabad,"Friday, March 1, 2019",March,2019,21929
Hyderabad,"Monday, April 1, 2019",April,2019,18267
Hyderabad,"Wednesday, May 1, 2019",May,2019,17317
Hyderabad,"Saturday, June 1, 2019",June,2019,20077
Hyderabad,"Monday, July 1, 2019",July,2019,27874
Hyderabad,"Thursday, August 1, 2019",August,2019,22725
Hyderabad,"Sunday, September 1, 2019",September,2019,34018
Hyderabad,"Tuesday, October 1, 2019",October,2019,28706
Hyderabad,"Friday, November 1, 2019",November,2019,32762
Hyderabad,"Sunday, December 1, 2019",December,2019,34084
Jagtial ,"Tuesday, January 1, 2019",January,2019,0
Jagtial ,"Friday, February 1, 2019",February,2019,0
Jagtial ,"Friday, March 1, 2019",March,2019,0
Jagtial ,"Monday, April 1, 2019",April,2019,0
Jagtial ,"Wednesday, May 1, 2019",May,2019,0
Jagtial ,"Saturday, June 1, 2019",June,2019,0
Jagtial ,"Monday, July 1, 2019",July,2019,0
Jagtial ,"Thursday, August 1, 2019",August,2019,0
Jagtial ,"Sunday, September 1, 2019",September,2019,0
Jagtial ,"Tuesday, October 1, 2019",October,2019,0
Jagtial ,"Friday, November 1, 2019",November,2019,0
Jagtial ,"Sunday, December 1, 2019",December,2019,0
Jangaon ,"Tuesday, January 1, 2019",January,2019,0
Jangaon ,"Friday, February 1, 2019",February,2019,0
Jangaon ,"Friday, March 1, 2019",March,2019,0
Jangaon ,"Monday, April 1, 2019",April,2019,0
Jangaon ,"Wednesday, May 1, 2019",May,2019,0
Jangaon ,"Saturday, June 1, 2019",June,2019,0
Jangaon ,"Monday, July 1, 2019",July,2019,0
Jangaon ,"Thursday, August 1, 2019",August,2019,0
Jangaon ,"Sunday, September 1, 2019",September,2019,0
Jangaon ,"Tuesday, October 1, 2019",October,2019,0
Jangaon ,"Friday, November 1, 2019",November,2019,0
Jangaon ,"Sunday, December 1, 2019",December,2019,0
Jayashankar Bhoopalpally,"Tuesday, January 1, 2019",January,2019,45
Jayashankar Bhoopalpally,"Friday, February 1, 2019",February,2019,0
Jayashankar Bhoopalpally,"Friday, March 1, 2019",March,2019,0
Jayashankar Bhoopalpally,"Monday, April 1, 2019",April,2019,0
Jayashankar Bhoopalpally,"Wednesday, May 1, 2019",May,2019,0
Jayashankar Bhoopalpally,"Saturday, June 1, 2019",June,2019,0
Jayashankar Bhoopalpally,"Monday, July 1, 2019",July,2019,0
Jayashankar Bhoopalpally,"Thursday, August 1, 2019",August,2019,0
Jayashankar Bhoopalpally,"Sunday, September 1, 2019",September,2019,0
Jayashankar Bhoopalpally,"Tuesday, October 1, 2019",October,2019,0
Jayashankar Bhoopalpally,"Friday, November 1, 2019",November,2019,0
Jayashankar Bhoopalpally,"Sunday, December 1, 2019",December,2019,0
Jogulamba Gadwal ,"Tuesday, January 1, 2019",January,2019,36
Jogulamba Gadwal ,"Friday, February 1, 2019",February,2019,6
Jogulamba Gadwal ,"Friday, March 1, 2019",March,2019,22
Jogulamba Gadwal ,"Monday, April 1, 2019",April,2019,16
Jogulamba Gadwal ,"Wednesday, May 1, 2019",May,2019,20
Jogulamba Gadwal ,"Saturday, June 1, 2019",June,2019,22
Jogulamba Gadwal ,"Monday, July 1, 2019",July,2019,37
Jogulamba Gadwal ,"Thursday, August 1, 2019",August,2019,42
Jogulamba Gadwal ,"Sunday, September 1, 2019",September,2019,25
Jogulamba Gadwal ,"Tuesday, October 1, 2019",October,2019,13
Jogulamba Gadwal ,"Friday, November 1, 2019",November,2019,45
Jogulamba Gadwal ,"Sunday, December 1, 2019",December,2019,11
Kamareddy ,"Tuesday, January 1, 2019",January,2019,0
Kamareddy ,"Friday, February 1, 2019",February,2019,0
Kamareddy ,"Friday, March 1, 2019",March,2019,0
Kamareddy ,"Monday, April 1, 2019",April,2019,0
Kamareddy ,"Wednesday, May 1, 2019",May,2019,0
Kamareddy ,"Saturday, June 1, 2019",June,2019,0
Kamareddy ,"Monday, July 1, 2019",July,2019,0
Kamareddy ,"Thursday, August 1, 2019",August,2019,0
Kamareddy ,"Sunday, September 1, 2019",September,2019,0
Kamareddy ,"Tuesday, October 1, 2019",October,2019,0
Kamareddy ,"Friday, November 1, 2019",November,2019,0
Kamareddy ,"Sunday, December 1, 2019",December,2019,0
Karimnagar ,"Tuesday, January 1, 2019",January,2019,0
Karimnagar ,"Friday, February 1, 2019",February,2019,0
Karimnagar ,"Friday, March 1, 2019",March,2019,0
Karimnagar ,"Monday, April 1, 2019",April,2019,0
Karimnagar ,"Wednesday, May 1, 2019",May,2019,0
Karimnagar ,"Saturday, June 1, 2019",June,2019,0
