district,date,month,year,visitors
Adilabad,"Sunday, January 1, 2017",January,2017,5
Adilabad,"Wednesday, February 1, 2017",February,2017,0
Adilabad,"Wednesday, March 1, 2017",March,2017,0
Adilabad,"Saturday, April 1, 2017",April,2017,0
Adilabad,"Monday, May 1, 2017",May,2017,0
Adilabad,"Thursday, June 1, 2017",June,2017,3
Adilabad,"Saturday, July 1, 2017",July,2017,0
Adilabad,"Tuesday, August 1, 2017",August,2017,0
Adilabad,"Friday, September 1, 2017",September,2017,3
Adilabad,"Sunday, October 1, 2017",October,2017,0
Adilabad,"Wednesday, November 1, 2017",November,2017,0
Adilabad,"Friday, December 1, 2017",December,2017,0
Bhadradri Kothagudem ,"Sunday, January 1, 2017",January,2017,0
Bhadradri Kothagudem ,"Wednesday, February 1, 2017",February,2017,0
Bhadradri Kothagudem ,"Wednesday, March 1, 2017",March,2017,0
Bhadradri Kothagudem ,"Saturday, April 1, 2017",April,2017,0
Bhadradri Kothagudem ,"Monday, May 1, 2017",May,2017,0
Bhadradri Kothagudem ,"Thursday, June 1, 2017",June,2017,0
Bhadradri Kothagudem ,"Saturday, July 1, 2017",July,2017,0
Bhadradri Kothagudem ,"Tuesday, August 1, 2017",August,2017,0
Bhadradri Kothagudem ,"Friday, September 1, 2017",September,2017,0
Bhadradri Kothagudem ,"Sunday, October 1, 2017",October,2017,0
Bhadradri Kothagudem ,"Wednesday, November 1, 2017",November,2017,0
Bhadradri Kothagudem ,"Friday, December 1, 2017",December,2017,0
Hyderabad,"Sunday, January 1, 2017",January,2017,19286
Hyderabad,"Wednesday, February 1, 2017",February,2017,18097
Hyderabad,"Wednesday, March 1, 2017",March,2017,13875
Hyderabad,"Saturday, April 1, 2017",April,2017,12996
Hyderabad,"Monday, May 1, 2017",May,2017,12983
Hyderabad,"Thursday, June 1, 2017",June,2017,12486
Hyderabad,"Saturday, July 1, 2017",July,2017,18144
Hyderabad,"Tuesday, August 1, 2017",August,2017,16985
Hyderabad,"Friday, September 1, 2017",September,2017,27856
Hyderabad,"Sunday, October 1, 2017",October,2017,26368
Hyderabad,"Wednesday, November 1, 2017",November,2017,29170
Hyderabad,"Friday, December 1, 2017",December,2017,38933
Jagtial ,"Sunday, January 1, 2017",January,2017,0
Jagtial ,"Wednesday, February 1, 2017",February,2017,0
Jagtial ,"Wednesday, March 1, 2017",March,2017,0
Jagtial ,"Saturday, April 1, 2017",April,2017,0
Jagtial ,"Monday, May 1, 2017",May,2017,0
Jagtial ,"Thursday, June 1, 2017",June,2017,0
Jagtial ,"Saturday, July 1, 2017",July,2017,0
Jagtial ,"Tuesday, August 1, 2017",August,2017,0
Jagtial ,"Friday, September 1, 2017",September,2017,0
Jagtial ,"Sunday, October 1, 2017",October,2017,0
Jagtial ,"Wednesday, November 1, 2017",November,2017,0
Jagtial ,"Friday, December 1, 2017",December,2017,0
Jangaon ,"Sunday, January 1, 2017",January,2017,0
Jangaon ,"Wednesday, February 1, 2017",February,2017,0
Jangaon ,"Wednesday, March 1, 2017",March,2017,0
Jangaon ,"Saturday, April 1, 2017",April,2017,0
Jangaon ,"Monday, May 1, 2017",May,2017,0
Jangaon ,"Thursday, June 1, 2017",June,2017,0
Jangaon ,"Saturday, July 1, 2017",July,2017,0
Jangaon ,"Tuesday, August 1, 2017",August,2017,0
Jangaon ,"Friday, September 1, 2017",September,2017,0
Jangaon ,"Sunday, October 1, 2017",October,2017,0
Jangaon ,"Wednesday, November 1, 2017",November,2017,0
Jangaon ,"Friday, December 1, 2017",December,2017,0
Jayashankar Bhoopalpally,"Sunday, January 1, 2017",January,2017,85
Jayashankar Bhoopalpally,"Wednesday, February 1, 2017",February,2017,38
Jayashankar Bhoopalpally,"Wednesday, March 1, 2017",March,2017,35
Jayashankar Bhoopalpally,"Saturday, April 1, 2017",April,2017,36
Jayashankar Bhoopalpally,"Monday, May 1, 2017",May,2017,40
Jayashankar Bhoopalpally,"Thursday, June 1, 2017",June,2017,35
Jayashankar Bhoopalpally,"Saturday, July 1, 2017",July,2017,42
Jayashankar Bhoopalpally,"Tuesday, August 1, 2017",August,2017,45
Jayashankar Bhoopalpally,"Friday, September 1, 2017",September,2017,56
Jayashankar Bhoopalpally,"Sunday, October 1, 2017",October,2017,55
Jayashankar Bhoopalpally,"Wednesday, November 1, 2017",November,2017,58
Jayashankar Bhoopalpally,"Friday, December 1, 2017",December,2017,57
Jogulamba Gadwal ,"Sunday, January 1, 2017",January,2017,20
Jogulamba Gadwal ,"Wednesday, February 1, 2017",February,2017,16
Jogulamba Gadwal ,"Wednesday, March 1, 2017",March,2017,32
Jogulamba Gadwal ,"Saturday, April 1, 2017",April,2017,29
Jogulamba Gadwal ,"Monday, May 1, 2017",May,2017,31
Jogulamba Gadwal ,"Thursday, June 1, 2017",June,2017,32
Jogulamba Gadwal ,"Saturday, July 1, 2017",July,2017,34
Jogulamba Gadwal ,"Tuesday, August 1, 2017",August,2017,25
Jogulamba Gadwal ,"Friday, September 1, 2017",September,2017,42
Jogulamba Gadwal ,"Sunday, October 1, 2017",October,2017,13
Jogulamba Gadwal ,"Wednesday, November 1, 2017",November,2017,21
Jogulamba Gadwal ,"Friday, December 1, 2017",December,2017,10
Kamareddy ,"Sunday, January 1, 2017",January,2017,0
Kamareddy ,"Wednesday, February 1, 2017",February,2017,0
Kamareddy ,"Wednesday, March 1, 2017",March,2017,0
Kamareddy ,"Saturday, April 1, 2017",April,2017,0
Kamareddy ,"Monday, May 1, 2017",May,2017,0
Kamareddy ,"Thursday, June 1, 2017",June,2017,0
Kamareddy ,"Saturday, July 1, 2017",July,2017,0
Kamareddy ,"Tuesday, August 1, 2017",August,2017,0
Kamareddy ,"Friday, September 1, 2017",September,2017,0
Kamareddy ,"Sunday, October 1, 2017",October,2017,0
Kamareddy ,"Wednesday, November 1, 2017",November,2017,0
Kamareddy ,"Friday, December 1, 2017",December,2017,0
Karimnagar ,"Sunday, January 1, 2017",January,2017,0
Karimnagar ,"Wednesday, February 1, 2017",February,2017,0
Karimnagar ,"Wednesday, March 1, 2017",March,2017,0
Karimnagar ,"Saturday, April 1, 2017",April,2017,0
Karimnagar ,"Monday, May 1, 2017",May,2017,0
Karimnagar ,"Thursday, June 1, 2017",June,2017,0
Karimnagar ,"Saturday, July 1, 2017",July,2017,0
Karimnagar ,"Tuesday, August 1, 2017",August,2017,0
Karimnagar ,"Friday, September 1, 2017",September,2017,0
Karimnagar ,"Sunday, October 1, 2017",October,2017,0
