district,date,month,year,visitors
Adilabad,"Friday, January 1, 2016",January,2016,2
Adilabad,"Monday, February 1, 2016",February,2016,0
Adilabad,"Tuesday, March 1, 2016",March,2016,2
Adilabad,"Friday, April 1, 2016",April,2016,0
Adilabad,"Sunday, May 1, 2016",May,2016,0
Adilabad,"Wednesday, June 1, 2016",June,2016,0
Adilabad,"Friday, July 1, 2016",July,2016,4
Adilabad,"Monday, August 1, 2016",August,2016,2
Adilabad,"Thursday, September 1, 2016",September,2016,0
Adilabad,"Saturday, October 1, 2016",October,2016,0
Adilabad,"Tuesday, November 1, 2016",November,2016,0
Adilabad,"Thursday, December 1, 2016",December,2016,0
Bhadradri Kothagudem ,"Friday, January 1, 2016",January,2016, 
Bhadradri Kothagudem ,"Monday, February 1, 2016",February,2016, 
Bhadradri Kothagudem ,"Tuesday, March 1, 2016",March,2016, 
Bhadradri Kothagudem ,"Friday, April 1, 2016",April,2016, 
Bhadradri Kothagudem ,"Sunday, May 1, 2016",May,2016, 
Bhadradri Kothagudem ,"Wednesday, June 1, 2016",June,2016, 
Bhadradri Kothagudem ,"Friday, July 1, 2016",July,2016, 
Bhadradri Kothagudem ,"Monday, August 1, 2016",August,2016, 
Bhadradri Kothagudem ,"Thursday, September 1, 2016",September,2016, 
Bhadradri Kothagudem ,"Saturday, October 1, 2016",October,2016,0
Bhadradri Kothagudem ,"Tuesday, November 1, 2016",November,2016,0
Bhadradri Kothagudem ,"Thursday, December 1, 2016",December,2016,0
Hyderabad,"Friday, January 1, 2016",January,2016,15865
Hyderabad,"Monday, February 1, 2016",February,2016,29646
Hyderabad,"Tuesday, March 1, 2016",March,2016,13019
Hyderabad,"Friday, April 1, 2016",April,2016,8402
Hyderabad,"Sunday, May 1, 2016",May,2016,8522
Hyderabad,"Wednesday, June 1, 2016",June,2016,10284
Hyderabad,"Friday, July 1, 2016",July,2016,17142
Hyderabad,"Monday, August 1, 2016",August,2016,12842
Hyderabad,"Thursday, September 1, 2016",September,2016,9397
Hyderabad,"Saturday, October 1, 2016",October,2016,12808
Hyderabad,"Tuesday, November 1, 2016",November,2016,8084
Hyderabad,"Thursday, December 1, 2016",December,2016,17620
Jagtial ,"Friday, January 1, 2016",January,2016, 
Jagtial ,"Monday, February 1, 2016",February,2016, 
Jagtial ,"Tuesday, March 1, 2016",March,2016, 
Jagtial ,"Friday, April 1, 2016",April,2016, 
Jagtial ,"Sunday, May 1, 2016",May,2016, 
Jagtial ,"Wednesday, June 1, 2016",June,2016, 
Jagtial ,"Friday, July 1, 2016",July,2016, 
Jagtial ,"Monday, August 1, 2016",August,2016, 
Jagtial ,"Thursday, September 1, 2016",September,2016, 
Jagtial ,"Saturday, October 1, 2016",October,2016,0
Jagtial ,"Tuesday, November 1, 2016",November,2016,0
Jagtial ,"Thursday, December 1, 2016",December,2016,0
Jangaon ,"Friday, January 1, 2016",January,2016, 
Jangaon ,"Monday, February 1, 2016",February,2016, 
Jangaon ,"Tuesday, March 1, 2016",March,2016, 
Jangaon ,"Friday, April 1, 2016",April,2016, 
Jangaon ,"Sunday, May 1, 2016",May,2016, 
Jangaon ,"Wednesday, June 1, 2016",June,2016, 
Jangaon ,"Friday, July 1, 2016",July,2016, 
Jangaon ,"Monday, August 1, 2016",August,2016, 
Jangaon ,"Thursday, September 1, 2016",September,2016, 
Jangaon ,"Saturday, October 1, 2016",October,2016,0
Jangaon ,"Tuesday, November 1, 2016",November,2016,2
Jangaon ,"Thursday, December 1, 2016",December,2016,0
Jayashankar Bhoopalpally,"Friday, January 1, 2016",January,2016, 
Jayashankar Bhoopalpally,"Monday, February 1, 2016",February,2016, 
Jayashankar Bhoopalpally,"Tuesday, March 1, 2016",March,2016, 
Jayashankar Bhoopalpally,"Friday, April 1, 2016",April,2016, 
Jayashankar Bhoopalpally,"Sunday, May 1, 2016",May,2016, 
Jayashankar Bhoopalpally,"Wednesday, June 1, 2016",June,2016, 
Jayashankar Bhoopalpally,"Friday, July 1, 2016",July,2016, 
Jayashankar Bhoopalpally,"Monday, August 1, 2016",August,2016, 
Jayashankar Bhoopalpally,"Thursday, September 1, 2016",September,2016, 
Jayashankar Bhoopalpally,"Saturday, October 1, 2016",October,2016,24
Jayashankar Bhoopalpally,"Tuesday, November 1, 2016",November,2016,22
Jayashankar Bhoopalpally,"Thursday, December 1, 2016",December,2016,40
Jogulamba Gadwal ,"Friday, January 1, 2016",January,2016, 
Jogulamba Gadwal ,"Monday, February 1, 2016",February,2016, 
Jogulamba Gadwal ,"Tuesday, March 1, 2016",March,2016, 
Jogulamba Gadwal ,"Friday, April 1, 2016",April,2016, 
Jogulamba Gadwal ,"Sunday, May 1, 2016",May,2016, 
Jogulamba Gadwal ,"Wednesday, June 1, 2016",June,2016, 
Jogulamba Gadwal ,"Friday, July 1, 2016",July,2016, 
Jogulamba Gadwal ,"Monday, August 1, 2016",August,2016, 
Jogulamba Gadwal ,"Thursday, September 1, 2016",September,2016, 
Jogulamba Gadwal ,"Saturday, October 1, 2016",October,2016,13
Jogulamba Gadwal ,"Tuesday, November 1, 2016",November,2016,21
Jogulamba Gadwal ,"Thursday, December 1, 2016",December,2016,11
Kamareddy ,"Friday, January 1, 2016",January,2016, 
Kamareddy ,"Monday, February 1, 2016",February,2016, 
Kamareddy ,"Tuesday, March 1, 2016",March,2016, 
Kamareddy ,"Friday, April 1, 2016",April,2016, 
Kamareddy ,"Sunday, May 1, 2016",May,2016, 
Kamareddy ,"Wednesday, June 1, 2016",June,2016, 
Kamareddy ,"Friday, July 1, 2016",July,2016, 
Kamareddy ,"Monday, August 1, 2016",August,2016, 
Kamareddy ,"Thursday, September 1, 2016",September,2016, 
Kamareddy ,"Saturday, October 1, 2016",October,2016,0
Kamareddy ,"Tuesday, November 1, 2016",November,2016,0
Kamareddy ,"Thursday, December 1, 2016",December,2016,0
Karimnagar ,"Friday, January 1, 2016",January,2016,0
Karimnagar ,"Monday, February 1, 2016",February,2016,0
Karimnagar ,"Tuesday, March 1, 2016",March,2016,0
Karimnagar ,"Friday, April 1, 2016",April,2016,0
Karimnagar ,"Sunday, May 1, 2016",May,2016,0
Karimnagar ,"Wednesday, June 1, 2016",June,2016,0
Karimnagar ,"Friday, July 1, 2016",July,2016,0
Karimnagar ,"Monday, August 1, 2016",August,2016,0
Karimnagar ,"Thursday, September 1, 2016",September,2016,0
Karimnagar ,"Saturday, October 1, 2016",October,2016,0
Karimnagar ,"Tuesday, November 1, 2016",November,2016,0
Karimnagar ,"Thursday, December 1, 2016",December,2016,0
Khammam,"Friday, January 1, 2016",January,2016,0
Khammam,"Monday, February 1, 2016",February,2016,0
Khammam,"Tuesday, March 1, 2016",March,2016,0
Khammam,"Friday, April 1, 2016",April,2016,0
Khammam,"Sunday, May 1, 2016",May,2016,0
Khammam,"Wednesday, June 1, 2016",June,2016,0
Khammam,"Friday, July 1, 2016",July,2016,0
Khammam,"Monday, August 1, 2016",August,2016,0
Khammam,"Thursday, September 1, 2016",September,2016,0
Khammam,"Saturday, October 1, 2016",October,2016,0
Khammam,"Tuesday, November 1, 2016",November,2016,0
Khammam,"Thursday, December 1, 2016",December,2016,0
Komaram Bheem Asifabad,"Friday, January 1, 2016",January,2016, 
Komaram Bheem Asifabad,"Monday, February 1, 2016",February,2016, 
Komaram Bheem Asifabad,"Tuesday, March 1, 2016",March,2016, 
Komaram Bheem Asifabad,"Friday, April 1, 2016",April,2016, 
Komaram Bheem Asifabad,"Sunday, May 1, 2016",May,2016, 
Komaram Bheem Asifabad,"Wednesday, June 1, 2016",June,2016, 
Komaram Bheem Asifabad,"Friday, July 1, 2016",July,2016, 
Komaram Bheem Asifabad,"Monday, August 1, 2016",August,2016, 
Komaram Bheem Asifabad,"Thursday, September 1, 2016",September,2016, 
Komaram Bheem Asifabad,"Saturday, October 1, 2016",October,2016,0
Komaram Bheem Asifabad,"Tuesday, November 1, 2016",November,2016,0
Komaram Bheem Asifabad,"Thursday, December 1, 2016",December,2016,0
Mahabubabad ,"Friday, January 1, 2016",January,2016, 
Mahabubabad ,"Monday, February 1, 2016",February,2016, 
Mahabubabad ,"Tuesday, March 1, 2016",March,2016, 
Mahabubabad ,"Friday, April 1, 2016",April,2016, 
Mahabubabad ,"Sunday, May 1, 2016",May,2016, 
Mahabubabad ,"Wednesday, June 1, 2016",June,2016, 
Mahabubabad ,"Friday, July 1, 2016",July,2016, 
Mahabubabad ,"Monday, August 1, 2016",August,2016, 
Mahabubabad ,"Thursday, September 1, 2016",September,2016, 
Mahabubabad ,"Saturday, October 1, 2016",October,2016,0
Mahabubabad ,"Tuesday, November 1, 2016",November,2016,0
Mahabubabad ,"Thursday, December 1, 2016",December,2016,0
Mahbubnagar,"Friday, January 1, 2016",January,2016,123
Mahbubnagar,"Monday, February 1, 2016",February,2016,126
Mahbubnagar,"Tuesday, March 1, 2016",March,2016,103
Mahbubnagar,"Friday, April 1, 2016",April,2016,75
Mahbubnagar,"Sunday, May 1, 2016",May,2016,58
Mahbubnagar,"Wednesday, June 1, 2016",June,2016,68
Mahbubnagar,"Friday, July 1, 2016",July,2016,63
Mahbubnagar,"Monday, August 1, 2016",August,2016,86
Mahbubnagar,"Thursday, September 1, 2016",September,2016,74
Mahbubnagar,"Saturday, October 1, 2016",October,2016,37
Mahbubnagar,"Tuesday, November 1, 2016",November,2016,29
Mahbubnagar,"Thursday, December 1, 2016",December,2016,26
Mancherial,"Friday, January 1, 2016",January,2016, 
Mancherial,"Monday, February 1, 2016",February,2016, 
Mancherial,"Tuesday, March 1, 2016",March,2016, 
Mancherial,"Friday, April 1, 2016",April,2016, 
Mancherial,"Sunday, May 1, 2016",May,2016, 
Mancherial,"Wednesday, June 1, 2016",June,2016, 
Mancherial,"Friday, July 1, 2016",July,2016, 
Mancherial,"Monday, August 1, 2016",August,2016, 
Mancherial,"Thursday, September 1, 2016",September,2016, 
Mancherial,"Saturday, October 1, 2016",October,2016,0
Mancherial,"Tuesday, November 1, 2016",November,2016,0
Mancherial,"Thursday, December 1, 2016",December,2016,0
Medak ,"Friday, January 1, 2016",January,2016,0
Medak ,"Monday, February 1, 2016",February,2016,0
Medak ,"Tuesday, March 1, 2016",March,2016,0
Medak ,"Friday, April 1, 2016",April,2016,0
Medak ,"Sunday, May 1, 2016",May,2016,0
Medak ,"Wednesday, June 1, 2016",June,2016,0
Medak ,"Friday, July 1, 2016",July,2016,0
Medak ,"Monday, August 1, 2016",August,2016,0
Medak ,"Thursday, September 1, 2016",September,2016,0
Medak ,"Saturday, October 1, 2016",October,2016,0
Medak ,"Tuesday, November 1, 2016",November,2016,0
Medak ,"Thursday, December 1, 2016",December,2016,0
Medchal ,"Friday, January 1, 2016",January,2016, 
Medchal ,"Monday, February 1, 2016",February,2016, 
Medchal ,"Tuesday, March 1, 2016",March,2016, 
Medchal ,"Friday, April 1, 2016",April,2016, 
Medchal ,"Sunday, May 1, 2016",May,2016, 
Medchal ,"Wednesday, June 1, 2016",June,2016, 
Medchal ,"Friday, July 1, 2016",July,2016, 
Medchal ,"Monday, August 1, 2016",August,2016, 
Medchal ,"Thursday, September 1, 2016",September,2016, 
Medchal ,"Saturday, October 1, 2016",October,2016, 
Medchal ,"Tuesday, November 1, 2016",November,2016, 
Medchal ,"Thursday, December 1, 2016",December,2016, 
Nagarkurnool ,"Friday, January 1, 2016",January,2016, 
Nagarkurnool ,"Monday, February 1, 2016",February,2016, 
Nagarkurnool ,"Tuesday, March 1, 2016",March,2016, 
Nagarkurnool ,"Friday, April 1, 2016",April,2016, 
Nagarkurnool ,"Sunday, May 1, 2016",May,2016, 
Nagarkurnool ,"Wednesday, June 1, 2016",June,2016, 
Nagarkurnool ,"Friday, July 1, 2016",July,2016, 
Nagarkurnool ,"Monday, August 1, 2016",August,2016, 
Nagarkurnool ,"Thursday, September 1, 2016",September,2016, 
Nagarkurnool ,"Saturday, October 1, 2016",October,2016,8
Nagarkurnool ,"Tuesday, November 1, 2016",November,2016,11
Nagarkurnool ,"Thursday, December 1, 2016",December,2016,10
Nalgonda,"Friday, January 1, 2016",January,2016,0
Nalgonda,"Monday, February 1, 2016",February,2016,0
Nalgonda,"Tuesday, March 1, 2016",March,2016,0
Nalgonda,"Friday, April 1, 2016",April,2016,0
Nalgonda,"Sunday, May 1, 2016",May,2016,0
Nalgonda,"Wednesday, June 1, 2016",June,2016,0
Nalgonda,"Friday, July 1, 2016",July,2016,0
Nalgonda,"Monday, August 1, 2016",August,2016,0
Nalgonda,"Thursday, September 1, 2016",September,2016,0
Nalgonda,"Saturday, October 1, 2016",October,2016,0
Nalgonda,"Tuesday, November 1, 2016",November,2016,0
Nalgonda,"Thursday, December 1, 2016",December,2016,0
Nirmal,"Friday, January 1, 2016",January,2016, 
Nirmal,"Monday, February 1, 2016",February,2016, 
Nirmal,"Tuesday, March 1, 2016",March,2016, 
Nirmal,"Friday, April 1, 2016",April,2016, 
Nirmal,"Sunday, May 1, 2016",May,2016, 
Nirmal,"Wednesday, June 1, 2016",June,2016, 
Nirmal,"Friday, July 1, 2016",July,2016, 
Nirmal,"Monday, August 1, 2016",August,2016, 
Nirmal,"Thursday, September 1, 2016",September,2016, 
Nirmal,"Saturday, October 1, 2016",October,2016,0
Nirmal,"Tuesday, November 1, 2016",November,2016,0
Nirmal,"Thursday, December 1, 2016",December,2016,0
Nizamabad,"Friday, January 1, 2016",January,2016,0
Nizamabad,"Monday, February 1, 2016",February,2016,0
Nizamabad,"Tuesday, March 1, 2016",March,2016,0
Nizamabad,"Friday, April 1, 2016",April,2016,0
Nizamabad,"Sunday, May 1, 2016",May,2016,0
Nizamabad,"Wednesday, June 1, 2016",June,2016,0
Nizamabad,"Friday, July 1, 2016",July,2016,0
Nizamabad,"Monday, August 1, 2016",August,2016,0
Nizamabad,"Thursday, September 1, 2016",September,2016,0
Nizamabad,"Saturday, October 1, 2016",October,2016,0
Nizamabad,"Tuesday, November 1, 2016",November,2016,0
Nizamabad,"Thursday, December 1, 2016",December,2016,0
Peddapalli,"Friday, January 1, 2016",January,2016, 
Peddapalli,"Monday, February 1, 2016",February,2016, 
Peddapalli,"Tuesday, March 1, 2016",March,2016, 
Peddapalli,"Friday, April 1, 2016",April,2016, 
Peddapalli,"Sunday, May 1, 2016",May,2016, 
Peddapalli,"Wednesday, June 1, 2016",June,2016, 
Peddapalli,"Friday, July 1, 2016",July,2016, 
Peddapalli,"Monday, August 1, 2016",August,2016, 
Peddapalli,"Thursday, September 1, 2016",September,2016, 
