district,date,month,year,visitors
Kamareddy ,"Sunday, July 1, 2018",July,2018,0
Kamareddy ,"Wednesday, August 1, 2018",August,2018, 
Kamareddy ,"Saturday, September 1, 2018",September,2018, 
Kamareddy ,"Monday, October 1, 2018",October,2018,0
Kamareddy ,"Thursday, November 1, 2018",November,2018,0
Kamareddy ,"Saturday, December 1, 2018",December,2018,0
Karimnagar ,"Monday, January 1, 2018",January,2018,0
Karimnagar ,"Thursday, February 1, 2018",February,2018,0
Karimnagar ,"Thursday, March 1, 2018",March,2018,0
Karimnagar ,"Sunday, April 1, 2018",April,2018,0
Karimnagar ,"Tuesday, May 1, 2018",May,2018,0
Karimnagar ,"Friday, June 1, 2018",June,2018,0
Karimnagar ,"Sunday, July 1, 2018",July,2018,0
Karimnagar ,"Wednesday, August 1, 2018",August,2018,0
Karimnagar ,"Saturday, September 1, 2018",September,2018,0
Karimnagar ,"Monday, October 1, 2018",October,2018,0
Karimnagar ,"Thursday, November 1, 2018",November,2018,0
Karimnagar ,"Saturday, December 1, 2018",December,2018,0
Khammam,"Monday, January 1, 2018",January,2018,0
Khammam,"Thursday, February 1, 2018",February,2018,0
Khammam,"Thursday, March 1, 2018",March,2018,0
Khammam,"Sunday, April 1, 2018",April,2018,0
Khammam,"Tuesday, May 1, 2018",May,2018,0
Khammam,"Friday, June 1, 2018",June,2018,0
Khammam,"Sunday, July 1, 2018",July,2018,0
Khammam,"Wednesday, August 1, 2018",August,2018,0
Khammam,"Saturday, September 1, 2018",September,2018,0
Khammam,"Monday, October 1, 2018",October,2018,0
Khammam,"Thursday, November 1, 2018",November,2018,0
Khammam,"Saturday, December 1, 2018",December,2018,0
Komaram Bheem Asifabad,"Monday, January 1, 2018",January,2018,0
Komaram Bheem Asifabad,"Thursday, February 1, 2018",February,2018,0
Komaram Bheem Asifabad,"Thursday, March 1, 2018",March,2018,0
Komaram Bheem Asifabad,"Sunday, April 1, 2018",April,2018,0
Komaram Bheem Asifabad,"Tuesday, May 1, 2018",May,2018,0
Komaram Bheem Asifabad,"Friday, June 1, 2018",June,2018,0
Komaram Bheem Asifabad,"Sunday, July 1, 2018",July,2018,0
Komaram Bheem Asifabad,"Wednesday, August 1, 2018",August,2018,0
Komaram Bheem Asifabad,"Saturday, September 1, 2018",September,2018,0
Komaram Bheem Asifabad,"Monday, October 1, 2018",October,2018,0
Komaram Bheem Asifabad,"Thursday, November 1, 2018",November,2018,0
Komaram Bheem Asifabad,"Saturday, December 1, 2018",December,2018,0
Mahabubabad ,"Monday, January 1, 2018",January,2018,0
Mahabubabad ,"Thursday, February 1, 2018",February,2018,0
Mahabubabad ,"Thursday, March 1, 2018",March,2018,0
Mahabubabad ,"Sunday, April 1, 2018",April,2018,0
Mahabubabad ,"Tuesday, May 1, 2018",May,2018,0
Mahabubabad ,"Friday, June 1, 2018",June,2018,0
Mahabubabad ,"Sunday, July 1, 2018",July,2018,0
Mahabubabad ,"Wednesday, August 1, 2018",August,2018,0
Mahabubabad ,"Saturday, September 1, 2018",September,2018,0
Mahabubabad ,"Monday, October 1, 2018",October,2018,0
Mahabubabad ,"Thursday, November 1, 2018",November,2018,0
Mahabubabad ,"Saturday, December 1, 2018",December,2018,0
Mahbubnagar,"Monday, January 1, 2018",January,2018,45
Mahbubnagar,"Thursday, February 1, 2018",February,2018,29
Mahbubnagar,"Thursday, March 1, 2018",March,2018,28
Mahbubnagar,"Sunday, April 1, 2018",April,2018,26
Mahbubnagar,"Tuesday, May 1, 2018",May,2018,26
Mahbubnagar,"Friday, June 1, 2018",June,2018,26
Mahbubnagar,"Sunday, July 1, 2018",July,2018,47
Mahbubnagar,"Wednesday, August 1, 2018",August,2018,44
Mahbubnagar,"Saturday, September 1, 2018",September,2018,52
Mahbubnagar,"Monday, October 1, 2018",October,2018,37
Mahbubnagar,"Thursday, November 1, 2018",November,2018,68
Mahbubnagar,"Saturday, December 1, 2018",December,2018,26
Mancherial,"Monday, January 1, 2018",January,2018,0
Mancherial,"Thursday, February 1, 2018",February,2018,0
Mancherial,"Thursday, March 1, 2018",March,2018,0
Mancherial,"Sunday, April 1, 2018",April,2018,0
Mancherial,"Tuesday, May 1, 2018",May,2018,0
Mancherial,"Friday, June 1, 2018",June,2018,0
Mancherial,"Sunday, July 1, 2018",July,2018,0
Mancherial,"Wednesday, August 1, 2018",August,2018,0
Mancherial,"Saturday, September 1, 2018",September,2018,0
Mancherial,"Monday, October 1, 2018",October,2018,0
Mancherial,"Thursday, November 1, 2018",November,2018,0
Mancherial,"Saturday, December 1, 2018",December,2018,0
Medak ,"Monday, January 1, 2018",January,2018,0
Medak ,"Thursday, February 1, 2018",February,2018,0
Medak ,"Thursday, March 1, 2018",March,2018,0
Medak ,"Sunday, April 1, 2018",April,2018,0
Medak ,"Tuesday, May 1, 2018",May,2018,0
Medak ,"Friday, June 1, 2018",June,2018,0
Medak ,"Sunday, July 1, 2018",July,2018,0
Medak ,"Wednesday, August 1, 2018",August,2018,0
Medak ,"Saturday, September 1, 2018",September,2018,0
Medak ,"Monday, October 1, 2018",October,2018,0
Medak ,"Thursday, November 1, 2018",November,2018,0
Medak ,"Saturday, December 1, 2018",December,2018,0
Medchal ,"Monday, January 1, 2018",January,2018, 
Medchal ,"Thursday, February 1, 2018",February,2018, 
Medchal ,"Thursday, March 1, 2018",March,2018, 
Medchal ,"Sunday, April 1, 2018",April,2018, 
Medchal ,"Tuesday, May 1, 2018",May,2018, 
Medchal ,"Friday, June 1, 2018",June,2018, 
Medchal ,"Sunday, July 1, 2018",July,2018, 
Medchal ,"Wednesday, August 1, 2018",August,2018, 
Medchal ,"Saturday, September 1, 2018",September,2018, 
Medchal ,"Monday, October 1, 2018",October,2018, 
Medchal ,"Thursday, November 1, 2018",November,2018, 
Medchal ,"Saturday, December 1, 2018",December,2018, 
Nagarkurnool ,"Monday, January 1, 2018",January,2018,35
Nagarkurnool ,"Thursday, February 1, 2018",February,2018,15
Nagarkurnool ,"Thursday, March 1, 2018",March,2018,14
Nagarkurnool ,"Sunday, April 1, 2018",April,2018,15
Nagarkurnool ,"Tuesday, May 1, 2018",May,2018,19
Nagarkurnool ,"Friday, June 1, 2018",June,2018,15
Nagarkurnool ,"Sunday, July 1, 2018",July,2018,17
Nagarkurnool ,"Wednesday, August 1, 2018",August,2018,22
Nagarkurnool ,"Saturday, September 1, 2018",September,2018,22
Nagarkurnool ,"Monday, October 1, 2018",October,2018,8
Nagarkurnool ,"Thursday, November 1, 2018",November,2018,30
Nagarkurnool ,"Saturday, December 1, 2018",December,2018,10
Nalgonda,"Monday, January 1, 2018",January,2018,0
Nalgonda,"Thursday, February 1, 2018",February,2018,0
Nalgonda,"Thursday, March 1, 2018",March,2018,0
Nalgonda,"Sunday, April 1, 2018",April,2018,0
Nalgonda,"Tuesday, May 1, 2018",May,2018,0
Nalgonda,"Friday, June 1, 2018",June,2018,0
Nalgonda,"Sunday, July 1, 2018",July,2018,0
Nalgonda,"Wednesday, August 1, 2018",August,2018,0
Nalgonda,"Saturday, September 1, 2018",September,2018,0
Nalgonda,"Monday, October 1, 2018",October,2018,0
Nalgonda,"Thursday, November 1, 2018",November,2018,0
Nalgonda,"Saturday, December 1, 2018",December,2018,0
Nirmal,"Monday, January 1, 2018",January,2018,0
Nirmal,"Thursday, February 1, 2018",February,2018,0
Nirmal,"Thursday, March 1, 2018",March,2018,0
Nirmal,"Sunday, April 1, 2018",April,2018,0
Nirmal,"Tuesday, May 1, 2018",May,2018,0
Nirmal,"Friday, June 1, 2018",June,2018,0
Nirmal,"Sunday, July 1, 2018",July,2018,0
Nirmal,"Wednesday, August 1, 2018",August,2018,2
Nirmal,"Saturday, September 1, 2018",September,2018,0
Nirmal,"Monday, October 1, 2018",October,2018,0
Nirmal,"Thursday, November 1, 2018",November,2018,0
Nirmal,"Saturday, December 1, 2018",December,2018,0
Nizamabad,"Monday, January 1, 2018",January,2018,1
Nizamabad,"Thursday, February 1, 2018",February,2018,0
Nizamabad,"Thursday, March 1, 2018",March,2018,0
Nizamabad,"Sunday, April 1, 2018",April,2018,0
Nizamabad,"Tuesday, May 1, 2018",May,2018,0
Nizamabad,"Friday, June 1, 2018",June,2018,0
Nizamabad,"Sunday, July 1, 2018",July,2018,1
Nizamabad,"Wednesday, August 1, 2018",August,2018,0
Nizamabad,"Saturday, September 1, 2018",September,2018,0
Nizamabad,"Monday, October 1, 2018",October,2018,0
Nizamabad,"Thursday, November 1, 2018",November,2018,0
Nizamabad,"Saturday, December 1, 2018",December,2018,0
Peddapalli,"Monday, January 1, 2018",January,2018,0
Peddapalli,"Thursday, February 1, 2018",February,2018,0
Peddapalli,"Thursday, March 1, 2018",March,2018,0
Peddapalli,"Sunday, April 1, 2018",April,2018,0
Peddapalli,"Tuesday, May 1, 2018",May,2018,0
Peddapalli,"Friday, June 1, 2018",June,2018,0
